"subject" "activity" "tbodyacc-mean-x" "tbodyacc-mean-y" "tbodyacc-mean-z" "tbodyacc-std-x" "tbodyacc-std-y" "tbodyacc-std-z" "tgravityacc-mean-x" "tgravityacc-mean-y" "tgravityacc-mean-z" "tgravityacc-std-x" "tgravityacc-std-y" "tgravityacc-std-z" "tbodyaccjerk-mean-x" "tbodyaccjerk-mean-y" "tbodyaccjerk-mean-z" "tbodyaccjerk-std-x" "tbodyaccjerk-std-y" "tbodyaccjerk-std-z" "tbodygyro-mean-x" "tbodygyro-mean-y" "tbodygyro-mean-z" "tbodygyro-std-x" "tbodygyro-std-y" "tbodygyro-std-z" "tbodygyrojerk-mean-x" "tbodygyrojerk-mean-y" "tbodygyrojerk-mean-z" "tbodygyrojerk-std-x" "tbodygyrojerk-std-y" "tbodygyrojerk-std-z" "tbodyaccmag-mean" "tbodyaccmag-std" "tgravityaccmag-mean" "tgravityaccmag-std" "tbodyaccjerkmag-mean" "tbodyaccjerkmag-std" "tbodygyromag-mean" "tbodygyromag-std" "tbodygyrojerkmag-mean" "tbodygyrojerkmag-std" "fbodyacc-mean-x" "fbodyacc-mean-y" "fbodyacc-mean-z" "fbodyacc-std-x" "fbodyacc-std-y" "fbodyacc-std-z" "fbodyaccjerk-mean-x" "fbodyaccjerk-mean-y" "fbodyaccjerk-mean-z" "fbodyaccjerk-std-x" "fbodyaccjerk-std-y" "fbodyaccjerk-std-z" "fbodygyro-mean-x" "fbodygyro-mean-y" "fbodygyro-mean-z" "fbodygyro-std-x" "fbodygyro-std-y" "fbodygyro-std-z" "fbodyaccmag-mean" "fbodyaccmag-std" "fbodybodyaccjerkmag-mean" "fbodybodyaccjerkmag-std" "fbodybodygyromag-mean" "fbodybodygyromag-std" "fbodybodygyrojerkmag-mean" "fbodybodygyrojerkmag-std"
"1" 1 "standing" 0.28858451 -0.020294171 -0.13290514 -0.9952786 -0.98311061 -0.91352645 0.96339614 -0.14083968 0.11537494 -0.98524969 -0.98170843 -0.87762497 0.077996345 0.0050008031 -0.067830808 -0.99351906 -0.98835999 -0.99357497 -0.0061008489 -0.031364791 0.1077254 -0.98531027 -0.97662344 -0.99220528 -0.0991674 -0.055517369 -0.061985797 -0.99211067 -0.99251927 -0.99205528 -0.95943388 -0.9505515 -0.95943388 -0.9505515 -0.99330586 -0.99433641 -0.96895908 -0.96433518 -0.99424782 -0.99136761 -0.99478319 -0.9829841 -0.93926865 -0.99542175 -0.98313297 -0.90616498 -0.99233245 -0.98716991 -0.98969609 -0.99582068 -0.99093631 -0.99705167 -0.98657442 -0.98176153 -0.98951478 -0.98503264 -0.97388607 -0.99403493 -0.95215466 -0.95613397 -0.99372565 -0.99375495 -0.98013485 -0.96130944 -0.99199044 -0.99069746
"2" 1 "standing" 0.27841883 -0.016410568 -0.12352019 -0.99824528 -0.97530022 -0.96032199 0.96656113 -0.14155127 0.10937881 -0.99741134 -0.98944741 -0.93163868 0.074006709 0.0057711041 0.029376633 -0.99554814 -0.98106363 -0.9918457 -0.01611162 -0.083893777 0.10058429 -0.98311996 -0.9890458 -0.98912123 -0.11050283 -0.044818731 -0.059242822 -0.98987256 -0.9972926 -0.993851 -0.97928915 -0.97605707 -0.97928915 -0.97605707 -0.99125349 -0.99169441 -0.98068314 -0.98375419 -0.9951232 -0.99610164 -0.99745072 -0.97685173 -0.97352267 -0.99868026 -0.97492981 -0.95543811 -0.99503222 -0.98131147 -0.98973975 -0.99665235 -0.98208394 -0.99262682 -0.97738671 -0.99253003 -0.98960578 -0.98490434 -0.98716807 -0.98978468 -0.98085662 -0.97586576 -0.99033549 -0.99196029 -0.98829555 -0.98332192 -0.99585386 -0.99639947
"3" 1 "standing" 0.27965306 -0.019467156 -0.11346169 -0.99537956 -0.96718701 -0.97894396 0.9668781 -0.14200984 0.10188392 -0.99957395 -0.99286582 -0.99291723 0.073635962 0.0031040366 -0.0090456308 -0.99074281 -0.98095561 -0.98968664 -0.031698294 -0.10233542 0.096126876 -0.97629211 -0.99355182 -0.98637871 -0.10848567 -0.042410306 -0.055828829 -0.98846185 -0.99563214 -0.99153184 -0.98370313 -0.98801962 -0.98370313 -0.98801962 -0.98853127 -0.9903969 -0.97631707 -0.98605146 -0.99340322 -0.99509104 -0.99359409 -0.97251146 -0.98330396 -0.99631281 -0.96550593 -0.97704932 -0.9909937 -0.98164225 -0.98756628 -0.9912488 -0.98141476 -0.9904159 -0.97543322 -0.99371467 -0.9867557 -0.97664224 -0.99339895 -0.98732821 -0.98779477 -0.98901548 -0.98928007 -0.99086668 -0.98925477 -0.98602772 -0.9950305 -0.99512739
"70" 1 "laying" 0.30383319 0.1036482 -0.24533103 -0.75599409 -0.64257064 -0.6955007 -0.33939193 0.6970974 0.70209116 -0.78654516 -0.78429151 -0.68993069 -0.048777316 0.14548517 0.10475315 -0.83892922 -0.79581029 -0.8821034 -0.036936103 -0.057546422 -0.052175402 -0.63256602 -0.78301797 -0.62485358 -0.79429092 0.069186911 -0.21966787 -0.67295977 -0.87982746 -0.85893273 -0.63496006 -0.70007559 -0.63496006 -0.70007559 -0.85112159 -0.79163541 -0.71573909 -0.43782608 -0.87102635 -0.73505633 -0.77764042 -0.65641474 -0.74389472 -0.74773772 -0.65709837 -0.69274327 -0.84128694 -0.77748827 -0.86899322 -0.8509183 -0.83732236 -0.89370215 -0.35965028 -0.79638339 -0.6394989 -0.73703623 -0.77656454 -0.65428401 -0.71639747 -0.73690231 -0.83435446 -0.74626649 -0.41740016 -0.55289109 -0.73301366 -0.75641948
"71" 1 "laying" -0.36120533 -0.26812111 0.17689637 -0.59939182 0.53250573 0.0043240256 -0.36048 0.71643717 0.6629796 -0.57217277 -0.72466654 -0.78630016 0.020624221 -0.26870572 0.23693914 -0.64824281 -0.25032928 -0.61258935 -0.23782482 0.0013208186 -0.098544364 -0.081294431 -0.67023793 -0.57189809 -0.26163473 -0.11985833 -0.012435592 -0.36262562 -0.72314441 -0.71632539 -0.062945893 0.30788151 -0.062945893 0.30788151 -0.56428225 -0.33962197 -0.40112981 0.27340612 -0.67562773 -0.53941555 -0.62167946 0.26319965 -0.25634415 -0.59077718 0.56288903 0.054977589 -0.63698626 -0.21058319 -0.57076123 -0.69447248 -0.36007731 -0.65294977 0.0057825797 -0.66275526 -0.53699297 -0.11375026 -0.67722657 -0.62303729 -0.091821255 0.28069657 -0.35848249 -0.32035278 -0.10202009 0.27991626 -0.60822781 -0.49217599
"72" 1 "laying" -0.27706634 -0.68409659 0.34665772 -0.59641047 0.024682958 -0.16040449 -0.57349604 0.52510468 0.77976328 -0.24241051 0.069459782 -0.14768193 0.17061123 -0.3848919 -0.028640525 -0.67369935 -0.26985594 -0.62029149 -0.22981397 -0.084139792 0.12658478 -0.11708191 -0.70508529 -0.72542219 0.60049262 -0.14450577 0.10627918 -0.45691937 -0.74054968 -0.74996313 0.29483896 -0.040902739 0.29483896 -0.040902739 -0.62540929 -0.29310124 -0.48420622 0.25838625 -0.75023599 -0.54078957 -0.60838922 0.029028661 -0.31756454 -0.59163789 -0.042426101 -0.14414422 -0.65892981 -0.24437788 -0.5777608 -0.72221064 -0.35761019 -0.66152622 0.20023571 -0.68059349 -0.64274198 -0.21899757 -0.72334622 -0.78386911 -0.220785 -0.10278022 -0.33175609 -0.25098304 0.10504627 0.14654068 -0.61261081 -0.49043707
"73" 1 "laying" 0.2574765 -0.41386534 0.017374188 -0.91966606 0.075259481 -0.63071563 -0.74182101 0.16014065 0.94954331 -0.83322417 0.13696674 -0.51782593 0.11161264 0.3056408 -0.22123434 -0.90510028 -0.88601631 -0.91145828 0.049928814 -0.11530276 0.19568759 -0.70487231 -0.85821079 -0.8784089 0.11264077 0.02773879 -0.064159118 -0.92143767 -0.92801395 -0.94851936 -0.33101576 -0.053417618 -0.33101576 -0.053417618 -0.92047767 -0.85134447 -0.73358055 -0.71856338 -0.95082172 -0.89968023 -0.90611827 -0.38761604 -0.72773664 -0.92560766 0.18885085 -0.6104376 -0.90822047 -0.8793609 -0.89344593 -0.91017271 -0.90355657 -0.9298109 -0.64389389 -0.86035895 -0.89368601 -0.72434139 -0.85780101 -0.88464973 -0.49856777 -0.026812389 -0.87188606 -0.82739933 -0.76682956 -0.73479036 -0.91304149 -0.89052661
"74" 1 "laying" 0.27683965 -0.02714766 -0.1231748 -0.97739515 -0.58759988 -0.97067028 -0.75672502 -0.05899586 0.9993499 -0.97380343 -0.69035884 -0.95687927 0.06719499 0.22425664 -0.00032738316 -0.97463659 -0.96532216 -0.98959311 0.16127991 -0.13043859 0.21213106 -0.94601195 -0.98302707 -0.96470731 -0.11341681 -0.029336611 -0.066985016 -0.97892309 -0.98440393 -0.99161134 -0.84935162 -0.7499689 -0.84935162 -0.7499689 -0.97568945 -0.98009774 -0.79201016 -0.90706493 -0.98514778 -0.98501114 -0.97590839 -0.68463497 -0.9819809 -0.97788126 -0.56873374 -0.96595169 -0.97465148 -0.96828834 -0.98784889 -0.97690911 -0.96416548 -0.989856 -0.95500016 -0.97999511 -0.97315134 -0.94457602 -0.98526998 -0.96520378 -0.78142895 -0.77156888 -0.97823155 -0.98139751 -0.95044369 -0.89957191 -0.98525063 -0.985195
"75" 1 "laying" 0.26865095 0.016430154 -0.10372571 -0.98569313 -0.89590544 -0.98819508 -0.75607738 -0.068420491 0.99429673 -0.98349779 -0.87756222 -0.98545848 0.077417432 -0.037359808 0.0074256146 -0.97566868 -0.98006376 -0.9926129 0.086572053 -0.10767743 0.15907433 -0.95021471 -0.98811222 -0.96948105 -0.13014634 -0.036068798 -0.069935123 -0.98451196 -0.98667782 -0.99388327 -0.95078066 -0.91348682 -0.95078066 -0.91348682 -0.98420696 -0.98054207 -0.87634272 -0.91334379 -0.9900837 -0.9843463 -0.98176325 -0.93234665 -0.98938688 -0.98756086 -0.8858831 -0.98742986 -0.97598056 -0.97793988 -0.99128063 -0.97748471 -0.98463728 -0.9924545 -0.94593892 -0.98624614 -0.97448174 -0.95173175 -0.98945513 -0.97049747 -0.94537225 -0.91127373 -0.98065971 -0.97856496 -0.9424823 -0.91073852 -0.98690955 -0.98187267
"76" 1 "laying" 0.28526329 -0.008888811 -0.10374518 -0.99549458 -0.97982784 -0.99541907 -0.75875146 -0.045998244 0.9957729 -0.994136 -0.97831578 -0.98857181 0.080899203 -0.00041533963 -0.017179454 -0.99271975 -0.98994592 -0.99590479 0.018982197 -0.088940444 0.11034306 -0.96234199 -0.99311406 -0.98134938 -0.12062556 -0.035133122 -0.064724956 -0.99395962 -0.99601352 -0.99616353 -0.98981335 -0.9901396 -0.98981335 -0.9901396 -0.99420976 -0.99676198 -0.95121536 -0.93829404 -0.99619712 -0.9968233 -0.99356756 -0.98321534 -0.99346289 -0.99653259 -0.97827607 -0.9964054 -0.99267002 -0.98906796 -0.99440684 -0.99342505 -0.99193613 -0.99605154 -0.96457419 -0.99383036 -0.98426332 -0.9621221 -0.99262076 -0.981912 -0.99186108 -0.9894907 -0.99656785 -0.99570379 -0.96361471 -0.93434582 -0.99691603 -0.99648845
